  Wavelengths    Diffuse Transmittance    Diffuse Reflectance    Absorption
-------------  -----------------------  ---------------------  ------------
         1000              1.80448e-09               0.599912      0.400088
         1050              3.1021e-07                0.687359      0.31264
         1100              2.60546e-07               0.6784        0.321599
         1150              4.48322e-07               0.66756       0.332439
         1200              6.92038e-07               0.6604        0.339599
         1250              1.1249e-06                0.651336      0.348663
         1300              1.40427e-06               0.643085      0.356914
         1350              2.64589e-06               0.632358      0.36764
         1400              4.72258e-12               0.391123      0.608877
         1450              5.76968e-16               0.306865      0.693135
         1500              2.8509e-14                0.330151      0.669849
         1550              1.69452e-09               0.411121      0.588879
         1600              7.46258e-08               0.471612      0.528388
         1650              1.08686e-07               0.460337      0.539663
         1700              2.76265e-07               0.450309      0.549691
         1750              1.84319e-07               0.439832      0.560168
         1800              6.97531e-09               0.356793      0.643207
         1850              1.11275e-08               0.346123      0.653877
         1900              1.35552e-15               0.196283      0.803717
         1950              1.57691e-19               0.13764       0.86236
         2000              4.18196e-14               0.159271      0.840729
